
--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_300p00000_90p00000.png001.png;quaternioncoord(-0.6676;0.0000;-0.0003;0.7445);1.2546
Stellarium_test_image_300p00000_m30p00000.png001.png;quaternioncoord(0.3469;0.2088;0.8407;-0.3597);0.8624
Stellarium_test_image_300p00000_m60p00000.png001.png;quaternioncoord(-0.2292;-0.5164;-0.8164;0.1199);1.0274
Stellarium_test_image_30p00000_0p00000.png001.png;quaternioncoord(-0.1060;-0.4276;-0.8382;0.3216);1.0398
Stellarium_test_image_30p00000_30p00000.png001.png;quaternioncoord(0.6303;-0.4789;0.1440;-0.5938);1.4075
Stellarium_test_image_30p00000_60p00000.png001.png;quaternioncoord(0.6988;-0.2483;0.0731;-0.6668);1.0078
Stellarium_test_image_30p00000_90p00000.png001.png;quaternioncoord(-0.6664;0.0000;-0.0003;0.7456);1.2603
Stellarium_test_image_30p00000_m30p00000.png001.png;quaternioncoord(-0.8424;0.1635;-0.4968;-0.1299);1.2568
Stellarium_test_image_30p00000_m60p00000.png001.png;quaternioncoord(-0.0225;0.8756;0.4078;0.2581);0.6209
Stellarium_test_image_30p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7546;-0.6562;-0.0004);1.3607
Stellarium_test_image_315p00000_0p00000.png001.png;FAILED;0.4560
Stellarium_test_image_315p00000_30p00000.png001.png;quaternioncoord(-0.5114;0.0765;-0.4945;0.6987);1.4078
Stellarium_test_image_315p00000_60p00000.png001.png;quaternioncoord(-0.5788;0.0368;-0.2566;0.7732);0.7529
Stellarium_test_image_315p00000_90p00000.png001.png;quaternioncoord(-0.6677;0.0000;-0.0003;0.7444);1.2564
Stellarium_test_image_315p00000_m30p00000.png001.png;quaternioncoord(0.3867;0.0860;0.8619;-0.3165);1.2222
Stellarium_test_image_315p00000_m60p00000.png001.png;quaternioncoord(-0.2527;-0.5203;-0.8138;0.0553);1.0826
Stellarium_test_image_330p00000_0p00000.png001.png;quaternioncoord(-0.1448;-0.0542;0.7580;-0.6336);1.5689
Stellarium_test_image_330p00000_30p00000.png001.png;quaternioncoord(-0.5412;0.1817;-0.4661;0.6758);0.8371
Stellarium_test_image_330p00000_60p00000.png001.png;FAILED;0.5194
Stellarium_test_image_330p00000_90p00000.png001.png;quaternioncoord(-0.6678;0.0000;-0.0003;0.7444);1.2743
Stellarium_test_image_330p00000_m30p00000.png001.png;quaternioncoord(0.2733;0.8122;0.3079;-0.4134);1.3556
Stellarium_test_image_330p00000_m60p00000.png001.png;quaternioncoord(-0.2575;-0.5632;-0.7847;-0.0259);0.7068
Stellarium_test_image_345p00000_0p00000.png001.png;quaternioncoord(0.3974;0.0037;-0.9158;0.0583);1.1946
Stellarium_test_image_345p00000_30p00000.png001.png;quaternioncoord(-0.5643;0.2820;-0.4132;0.6568);1.0596
Stellarium_test_image_345p00000_60p00000.png001.png;quaternioncoord(0.6299;-0.1459;0.2141;-0.7322);1.1393
Stellarium_test_image_345p00000_90p00000.png001.png;quaternioncoord(-0.6678;0.0000;-0.0003;0.7443);1.2806
Stellarium_test_image_345p00000_m30p00000.png001.png;quaternioncoord(-0.2066;0.7971;-0.4607;-0.3313);1.7832
Stellarium_test_image_345p00000_m60p00000.png001.png;quaternioncoord(0.2278;0.6629;0.7024;0.1232);1.0937
Stellarium_test_image_45p00000_0p00000.png001.png;quaternioncoord(0.5193;-0.7066;0.0282;-0.4799);1.3455
Stellarium_test_image_45p00000_30p00000.png001.png;quaternioncoord(-0.6617;0.4982;-0.0423;0.5587);1.7589
Stellarium_test_image_45p00000_60p00000.png001.png;quaternioncoord(0.7227;-0.2583;0.0159;-0.6408);0.7267
Stellarium_test_image_45p00000_90p00000.png001.png;quaternioncoord(-0.6664;-0.0000;-0.0003;0.7456);1.3095
Stellarium_test_image_45p00000_m30p00000.png001.png;quaternioncoord(-0.3114;0.8606;0.0971;0.3911);1.5867
Stellarium_test_image_45p00000_m60p00000.png001.png;quaternioncoord(-0.0896;0.8774;0.4038;0.2430);1.1660
Stellarium_test_image_45p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7544;-0.6564;-0.0004);1.4568
Stellarium_test_image_60p00000_0p00000.png001.png;quaternioncoord(0.5614;-0.7013;-0.0912;-0.4299);0.5287
